organisation,status_codes
uribl.abuse.ro,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.8,127.0.0.9"
spam.dnsbl.anonmails.de,"127.0.0.2"
ips.backscatterer.org,"127.0.0.2"
bl.blocklist.de,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.9,127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.14,127.0.0.16,127.0.0.17,127.0.0.18,127.0.0.20,127.0.0.21,127.0.0.22"
dnsbl.calivent.com.pe,"127.0.0.2"
bogons.cymru.com,"127.0.0.2"
v4.fullbogons.cymru.com,"127.0.0.2"
bl.drmx.org,"127.0.0.2"
dnsbl.dronebl.org,"127.0.0.2,127.0.0.3,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.9,127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.15,127.0.0.16,127.0.0.17,127.0.0.18,127.0.0.19,127.0.0.255"
spamsources.fabel.dk,"127.0.0.2"
accredit.habeas.com,"127.0.0.30,127.0.0.50"
sohul.habeas.com,"127.0.0.30,127.0.0.50"
hostkarma.junkemailfilter.com,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.1.1,127.0.1.2,127.0.1.3,127.0.1.4,127.0.2.1,127.0.2.2,127.0.2.3"
black.junkemailfilter.com,"127.0.0.2"
forbidden.icm.edu.pl,"127.0.0.50"
spamrbl.imp.ch,"127.0.0.5,127.0.0.8"
wormrbl.imp.ch,"127.0.0.5"
rbl.interserver.net,"127.0.0.2"
mail-abuse.blacklist.jippg.org,"127.0.0.2"
dnsbl.kempt.net,"127.0.0.2"
spamguard.leadmon.net,"127.0.0.2,127.0.0.3,127.0.0.4,127.0.0.5,127.0.0.6,127.0.0.7,127.0.0.8,127.0.0.9"
bl.mailspike.net,"127.0.0.2,127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.17,127.0.0.18"
rep.mailspike.net,"127.0.0.10,127.0.0.11,127.0.0.12,127.0.0.13,127.0.0.14"
z.mailspike.net,"127.0.0.2"
ix.dnsbl.manitu.net,"127.0.0.2"
dbl.nordspam.com,"127.0.0.2"
bl.nordspam.com,"127.0.0.2"
bl.nosolicitado.org,"127.0.0.2"
